Area Code,Area Name,Geography type,Year,Index level,Indicator/grouping name,Index value,parents
E06000001,Hartlepool,Upper Tier Local Authority,2018,Subdomain,Mental health,87.4,E12000001
E06000002,Middlesbrough,Upper Tier Local Authority,2018,Subdomain,Mental health,81.0,E12000001
E06000003,Redcar and Cleveland,Upper Tier Local Authority,2018,Subdomain,Mental health,84.9,E12000001
E06000004,Stockton-on-Tees,Upper Tier Local Authority,2018,Subdomain,Mental health,85.1,E12000001
E06000005,Darlington,Upper Tier Local Authority,2018,Subdomain,Mental health,86.7,E12000001
E06000006,Halton,Upper Tier Local Authority,2018,Subdomain,Mental health,79.1,E12000002
E06000007,Warrington,Upper Tier Local Authority,2018,Subdomain,Mental health,90.6,E12000002
E06000008,Blackburn with Darwen,Upper Tier Local Authority,2018,Subdomain,Mental health,87.1,E12000002
E06000009,Blackpool,Upper Tier Local Authority,2018,Subdomain,Mental health,71.6,E12000002
E06000010,"Kingston upon Hull, City of",Upper Tier Local Authority,2018,Subdomain,Mental health,87.3,E12000003
E06000011,East Riding of Yorkshire,Upper Tier Local Authority,2018,Subdomain,Mental health,98.8,E12000003
E06000012,North East Lincolnshire,Upper Tier Local Authority,2018,Subdomain,Mental health,96.2,E12000003
E06000013,North Lincolnshire,Upper Tier Local Authority,2018,Subdomain,Mental health,95.2,E12000003
E06000014,York,Upper Tier Local Authority,2018,Subdomain,Mental health,94.2,E12000003
E06000015,Derby,Upper Tier Local Authority,2018,Subdomain,Mental health,94.0,E12000004
E06000016,Leicester,Upper Tier Local Authority,2018,Subdomain,Mental health,106.1,E12000004
E06000017,Rutland,Upper Tier Local Authority,2018,Subdomain,Mental health,108.2,E12000004
E06000018,Nottingham,Upper Tier Local Authority,2018,Subdomain,Mental health,95.5,E12000004
E06000019,"Herefordshire, County of",Upper Tier Local Authority,2018,Subdomain,Mental health,97.2,E12000005
E06000020,Telford and Wrekin,Upper Tier Local Authority,2018,Subdomain,Mental health,87.7,E12000005
E06000021,Stoke-on-Trent,Upper Tier Local Authority,2018,Subdomain,Mental health,76.8,E12000005
E06000022,Bath and North East Somerset,Upper Tier Local Authority,2018,Subdomain,Mental health,94.6,E12000009
E06000023,"Bristol, City of",Upper Tier Local Authority,2018,Subdomain,Mental health,86.0,E12000009
E06000024,North Somerset,Upper Tier Local Authority,2018,Subdomain,Mental health,85.3,E12000009
E06000025,South Gloucestershire,Upper Tier Local Authority,2018,Subdomain,Mental health,95.3,E12000009
E06000026,Plymouth,Upper Tier Local Authority,2018,Subdomain,Mental health,87.4,E12000009
E06000027,Torbay,Upper Tier Local Authority,2018,Subdomain,Mental health,77.1,E12000009
E06000030,Swindon,Upper Tier Local Authority,2018,Subdomain,Mental health,86.7,E12000009
E06000031,Peterborough,Upper Tier Local Authority,2018,Subdomain,Mental health,93.9,E12000006
E06000032,Luton,Upper Tier Local Authority,2018,Subdomain,Mental health,106.4,E12000006
E06000033,Southend-on-Sea,Upper Tier Local Authority,2018,Subdomain,Mental health,96.4,E12000006
E06000034,Thurrock,Upper Tier Local Authority,2018,Subdomain,Mental health,101.3,E12000006
E06000035,Medway,Upper Tier Local Authority,2018,Subdomain,Mental health,96.0,E12000008
E06000036,Bracknell Forest,Upper Tier Local Authority,2018,Subdomain,Mental health,91.5,E12000008
E06000037,West Berkshire,Upper Tier Local Authority,2018,Subdomain,Mental health,98.1,E12000008
E06000038,Reading,Upper Tier Local Authority,2018,Subdomain,Mental health,97.9,E12000008
E06000039,Slough,Upper Tier Local Authority,2018,Subdomain,Mental health,102.7,E12000008
E06000040,Windsor and Maidenhead,Upper Tier Local Authority,2018,Subdomain,Mental health,103.0,E12000008
E06000041,Wokingham,Upper Tier Local Authority,2018,Subdomain,Mental health,103.7,E12000008
E06000042,Milton Keynes,Upper Tier Local Authority,2018,Subdomain,Mental health,104.9,E12000008
E06000043,Brighton and Hove,Upper Tier Local Authority,2018,Subdomain,Mental health,85.8,E12000008
E06000044,Portsmouth,Upper Tier Local Authority,2018,Subdomain,Mental health,83.6,E12000008
E06000045,Southampton,Upper Tier Local Authority,2018,Subdomain,Mental health,82.3,E12000008
E06000046,Isle of Wight,Upper Tier Local Authority,2018,Subdomain,Mental health,94.1,E12000008
E06000047,County Durham,Upper Tier Local Authority,2018,Subdomain,Mental health,89.0,E12000001
E06000049,Cheshire East,Upper Tier Local Authority,2018,Subdomain,Mental health,92.4,E12000002
E06000050,Cheshire West and Chester,Upper Tier Local Authority,2018,Subdomain,Mental health,95.8,E12000002
E06000051,Shropshire,Upper Tier Local Authority,2018,Subdomain,Mental health,97.5,E12000005
E06000052,Cornwall,Upper Tier Local Authority,2018,Subdomain,Mental health,86.4,E12000009
E06000054,Wiltshire,Upper Tier Local Authority,2018,Subdomain,Mental health,93.9,E12000009
E06000055,Bedford,Upper Tier Local Authority,2018,Subdomain,Mental health,89.7,E12000006
E06000056,Central Bedfordshire,Upper Tier Local Authority,2018,Subdomain,Mental health,99.6,E12000006
E06000057,Northumberland,Upper Tier Local Authority,2018,Subdomain,Mental health,81.1,E12000001
E06000058,"Bournemouth, Christchurch and Poole",Upper Tier Local Authority,2018,Subdomain,Mental health,83.2,E12000009
E06000059,Dorset,Upper Tier Local Authority,2018,Subdomain,Mental health,87.7,E12000009
