Area Code,Area Name,Geography type,Year,Index level,Indicator/grouping name,Index value,parents
E06000001,Hartlepool,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.0,E12000001
E06000002,Middlesbrough,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.7,E12000001
E06000003,Redcar and Cleveland,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.8,E12000001
E06000004,Stockton-on-Tees,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,89.5,E12000001
E06000005,Darlington,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.0,E12000001
E06000006,Halton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,89.1,E12000002
E06000007,Warrington,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,94.5,E12000002
E06000008,Blackburn with Darwen,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,94.0,E12000002
E06000009,Blackpool,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,75.7,E12000002
E06000010,"Kingston upon Hull, City of",Upper Tier Local Authority,2018,Subdomain,Physical health conditions,97.3,E12000003
E06000011,East Riding of Yorkshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,80.4,E12000003
E06000012,North East Lincolnshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.1,E12000003
E06000013,North Lincolnshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,92.4,E12000003
E06000014,York,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.4,E12000003
E06000015,Derby,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,95.2,E12000004
E06000016,Leicester,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,108.7,E12000004
E06000017,Rutland,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.7,E12000004
E06000018,Nottingham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,107.4,E12000004
E06000019,"Herefordshire, County of",Upper Tier Local Authority,2018,Subdomain,Physical health conditions,83.8,E12000005
E06000020,Telford and Wrekin,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,96.6,E12000005
E06000021,Stoke-on-Trent,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,90.5,E12000005
E06000022,Bath and North East Somerset,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,94.3,E12000009
E06000023,"Bristol, City of",Upper Tier Local Authority,2018,Subdomain,Physical health conditions,96.4,E12000009
E06000024,North Somerset,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,79.1,E12000009
E06000025,South Gloucestershire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,86.5,E12000009
E06000026,Plymouth,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,91.5,E12000009
E06000027,Torbay,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,72.4,E12000009
E06000030,Swindon,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,97.3,E12000009
E06000031,Peterborough,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,107.4,E12000006
E06000032,Luton,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,109.7,E12000006
E06000033,Southend-on-Sea,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,93.0,E12000006
E06000034,Thurrock,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,99.9,E12000006
E06000035,Medway,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,99.2,E12000008
E06000036,Bracknell Forest,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,103.8,E12000008
E06000037,West Berkshire,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,94.8,E12000008
E06000038,Reading,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,107.1,E12000008
E06000039,Slough,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,111.3,E12000008
E06000040,Windsor and Maidenhead,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,100.6,E12000008
E06000041,Wokingham,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,97.1,E12000008
E06000042,Milton Keynes,Upper Tier Local Authority,2018,Subdomain,Physical health conditions,107.9,E12000008
