,code,name,namew,type,parent
1,E92000001,England,Lloegr,ctry,K04000001
3,E12000001,North East,,rgn,E92000001
4,E12000002,North West,,rgn,E92000001
5,E12000003,Yorkshire and The Humber,,rgn,E92000001
6,E12000004,East Midlands,,rgn,E92000001
7,E12000005,West Midlands,,rgn,E92000001
8,E12000006,East,,rgn,E92000001
9,E12000007,London,,rgn,E92000001
10,E12000008,South East,,rgn,E92000001
11,E12000009,South West,,rgn,E92000001
8083,E06000001,Hartlepool,,lad,E12000001
8084,E06000002,Middlesbrough,,lad,E12000001
8085,E06000003,Redcar and Cleveland,,lad,E12000001
8086,E06000004,Stockton-on-Tees,,lad,E12000001
8087,E06000005,Darlington,,lad,E12000001
8088,E06000006,Halton,,lad,E12000002
8089,E06000007,Warrington,,lad,E12000002
8090,E06000008,Blackburn with Darwen,,lad,E12000002
8091,E06000009,Blackpool,,lad,E12000002
8092,E06000010,"Kingston upon Hull, City of",,lad,E12000003
8093,E06000011,East Riding of Yorkshire,,lad,E12000003
8094,E06000012,North East Lincolnshire,,lad,E12000003
8095,E06000013,North Lincolnshire,,lad,E12000003
8096,E06000014,York,,lad,E12000003
8097,E06000015,Derby,,lad,E12000004
8098,E06000016,Leicester,,lad,E12000004
8099,E06000017,Rutland,,lad,E12000004
8100,E06000018,Nottingham,,lad,E12000004
8101,E06000019,"Herefordshire, County of",,lad,E12000005
8102,E06000020,Telford and Wrekin,,lad,E12000005
8103,E06000021,Stoke-on-Trent,,lad,E12000005
8104,E06000022,Bath and North East Somerset,,lad,E12000009
8105,E06000023,"Bristol, City of",,lad,E12000009
8106,E06000024,North Somerset,,lad,E12000009
8107,E06000025,South Gloucestershire,,lad,E12000009
8108,E06000026,Plymouth,,lad,E12000009
8109,E06000027,Torbay,,lad,E12000009
8110,E06000030,Swindon,,lad,E12000009
8111,E06000031,Peterborough,,lad,E12000006
8112,E06000032,Luton,,lad,E12000006
8113,E06000033,Southend-on-Sea,,lad,E12000006
8114,E06000034,Thurrock,,lad,E12000006
8115,E06000035,Medway,,lad,E12000008
8116,E06000036,Bracknell Forest,,lad,E12000008
8117,E06000037,West Berkshire,,lad,E12000008
8118,E06000038,Reading,,lad,E12000008
8119,E06000039,Slough,,lad,E12000008
8120,E06000040,Windsor and Maidenhead,,lad,E12000008
8121,E06000041,Wokingham,,lad,E12000008
8122,E06000042,Milton Keynes,,lad,E12000008
8123,E06000043,Brighton and Hove,,lad,E12000008
8124,E06000044,Portsmouth,,lad,E12000008
8125,E06000045,Southampton,,lad,E12000008
8126,E06000046,Isle of Wight,,lad,E12000008
8127,E06000047,County Durham,,lad,E12000001
8128,E06000049,Cheshire East,,lad,E12000002
8129,E06000050,Cheshire West and Chester,,lad,E12000002
8130,E06000051,Shropshire,,lad,E12000005
8131,E06000052,Cornwall,,lad,E12000009
8133,E06000054,Wiltshire,,lad,E12000009
8134,E06000055,Bedford,,lad,E12000006
8135,E06000056,Central Bedfordshire,,lad,E12000006
8136,E06000057,Northumberland,,lad,E12000001
8137,E06000058,"Bournemouth, Christchurch and Poole",,lad,E12000009
8138,E06000059,Dorset,,lad,E12000009
8139,E06000060,Buckinghamshire,,lad,E12000008
8328,E08000001,Bolton,,lad,E12000002
8329,E08000002,Bury,,lad,E12000002
8330,E08000003,Manchester,,lad,E12000002
8331,E08000004,Oldham,,lad,E12000002
8332,E08000005,Rochdale,,lad,E12000002
8333,E08000006,Salford,,lad,E12000002
8334,E08000007,Stockport,,lad,E12000002
8335,E08000008,Tameside,,lad,E12000002
8336,E08000009,Trafford,,lad,E12000002
8337,E08000010,Wigan,,lad,E12000002
8338,E08000011,Knowsley,,lad,E12000002
8339,E08000012,Liverpool,,lad,E12000002
8340,E08000013,St. Helens,,lad,E12000002
8341,E08000014,Sefton,,lad,E12000002
8342,E08000015,Wirral,,lad,E12000002
8343,E08000016,Barnsley,,lad,E12000003
8344,E08000017,Doncaster,,lad,E12000003
8345,E08000018,Rotherham,,lad,E12000003
8346,E08000019,Sheffield,,lad,E12000003
8347,E08000021,Newcastle upon Tyne,,lad,E12000001
8348,E08000022,North Tyneside,,lad,E12000001
8349,E08000023,South Tyneside,,lad,E12000001
8350,E08000024,Sunderland,,lad,E12000001
8351,E08000025,Birmingham,,lad,E12000005
8352,E08000026,Coventry,,lad,E12000005
8353,E08000027,Dudley,,lad,E12000005
8354,E08000028,Sandwell,,lad,E12000005
8355,E08000029,Solihull,,lad,E12000005
8356,E08000030,Walsall,,lad,E12000005
8357,E08000031,Wolverhampton,,lad,E12000005
8358,E08000032,Bradford,,lad,E12000003
8359,E08000033,Calderdale,,lad,E12000003
8360,E08000034,Kirklees,,lad,E12000003
8361,E08000035,Leeds,,lad,E12000003
8362,E08000036,Wakefield,,lad,E12000003
8363,E08000037,Gateshead,,lad,E12000001
8365,E09000002,Barking and Dagenham,,lad,E12000007
8366,E09000003,Barnet,,lad,E12000007
8367,E09000004,Bexley,,lad,E12000007
8368,E09000005,Brent,,lad,E12000007
8369,E09000006,Bromley,,lad,E12000007
8370,E09000007,Camden,,lad,E12000007
8371,E09000008,Croydon,,lad,E12000007
8372,E09000009,Ealing,,lad,E12000007
8373,E09000010,Enfield,,lad,E12000007
8374,E09000011,Greenwich,,lad,E12000007
8375,E09000012,Hackney,,lad,E12000007
8376,E09000013,Hammersmith and Fulham,,lad,E12000007
8377,E09000014,Haringey,,lad,E12000007
8378,E09000015,Harrow,,lad,E12000007
8379,E09000016,Havering,,lad,E12000007
